ubigeo,departamento,provincia,distrito,ubigeo_reniec,ubigeo_sunat
10101,Amazonas,Chachapoyas,Chachapoyas,10101,10101
10102,Amazonas,Chachapoyas,Asunción,10102,10102
10103,Amazonas,Chachapoyas,Balsas,10103,10103
10104,Amazonas,Chachapoyas,Cheto,10104,10104
10105,Amazonas,Chachapoyas,Chiliquin,10105,10105
10106,Amazonas,Chachapoyas,Chuquibamba,10106,10106
10107,Amazonas,Chachapoyas,Granada,10107,10107
10108,Amazonas,Chachapoyas,Huancas,10108,10108
10109,Amazonas,Chachapoyas,La Jalca,10109,10109
10110,Amazonas,Chachapoyas,Leimebamba,10110,10110
10111,Amazonas,Chachapoyas,Levanto,10111,10111
10112,Amazonas,Chachapoyas,Magdalena,10112,10112
10113,Amazonas,Chachapoyas,Mariscal Castilla,10113,10113
10114,Amazonas,Chachapoyas,Molinopampa,10114,10114
10115,Amazonas,Chachapoyas,Montevideo,10115,10115
10116,Amazonas,Chachapoyas,Olleros,10116,10116
10117,Amazonas,Chachapoyas,Quinjalca,10117,10117
10118,Amazonas,Chachapoyas,San Francisco de Daguas,10118,10118
10119,Amazonas,Chachapoyas,San Isidro de Maino,10119,10119
10120,Amazonas,Chachapoyas,Soloco,10120,10120
10121,Amazonas,Chachapoyas,Sonche,10121,10121
10201,Amazonas,Bagua,Bagua,10205,10201
10202,Amazonas,Bagua,Aramango,10202,10202
10203,Amazonas,Bagua,Copallin,10203,10203
10204,Amazonas,Bagua,El Parco,10204,10204
10205,Amazonas,Bagua,Imaza,10206,10205
10206,Amazonas,Bagua,La Peca,10201,10206
10301,Amazonas,Bongará,Jumbilla,10301,10301
10302,Amazonas,Bongará,Chisquilla,10304,10302
10303,Amazonas,Bongará,Churuja,10305,10303
10304,Amazonas,Bongará,Corosha,10302,10304
10305,Amazonas,Bongará,Cuispes,10303,10305
10306,Amazonas,Bongará,Florida,10306,10306
10307,Amazonas,Bongará,Jazan,10312,10307
10308,Amazonas,Bongará,Recta,10307,10308
10309,Amazonas,Bongará,San Carlos,10308,10309
10310,Amazonas,Bongará,Shipasbamba,10309,10310
10311,Amazonas,Bongará,Valera,10310,10311
10312,Amazonas,Bongará,Yambrasbamba,10311,10312
10401,Amazonas,Condorcanqui,Nieva,10601,10401
10402,Amazonas,Condorcanqui,El Cenepa,10603,10402
10403,Amazonas,Condorcanqui,Río Santiago,10602,10403
10501,Amazonas,Luya,Lamud,10401,10501
10502,Amazonas,Luya,Camporredondo,10402,10502
10503,Amazonas,Luya,Cocabamba,10403,10503
10504,Amazonas,Luya,Colcamar,10404,10504
10505,Amazonas,Luya,Conila,10405,10505
10506,Amazonas,Luya,Inguilpata,10406,10506
10507,Amazonas,Luya,Longuita,10407,10507
10508,Amazonas,Luya,Lonya Chico,10408,10508
10509,Amazonas,Luya,Luya,10409,10509
10510,Amazonas,Luya,Luya Viejo,10410,10510
10511,Amazonas,Luya,María,10411,10511
10512,Amazonas,Luya,Ocalli,10412,10512
10513,Amazonas,Luya,Ocumal,10413,10513
10514,Amazonas,Luya,Pisuquia,10414,10514
10515,Amazonas,Luya,Providencia,10423,10515
10516,Amazonas,Luya,San Cristóbal,10415,10516
10517,Amazonas,Luya,San Francisco de Yeso,10416,10517
10518,Amazonas,Luya,San Jerónimo,10417,10518
